电影中文名,电影外文名,导演中文名,导演外文名,主演中文名,主演外文名,评分,评分人数,简介,上映年份,国家,电影类型
绿皮书,Green Book,彼得·法雷里,Peter Farrelly,维果·莫腾森,,8.9,1739649,去除成见，需要勇气。,2018,美国 中国大陆,剧情 喜剧 传记 音乐
大闹天宫,大闹天宫 上下集,万籁鸣,中国大陆,邱岳峰,中国大陆,9.4,465280,经典之作，历久弥新。,1961,,剧情 动画 奇幻 古装
罗马假日,Roman Holiday,威廉·惠勒,William Wyler,奥黛丽·赫本,,9.1,987416,爱情哪怕只有一天。,1953,美国,喜剧 剧情 爱情
黑客帝国,The Matrix,安迪·沃卓斯基,Andy Wachowski,,,9.1,878284,视觉革命。,1999,美国,动作 科幻
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,Peter Jackson,伊利亚·伍德,,9.1,890299,传说的开始。,2001,新西兰 美国,剧情 动作 奇幻 冒险
天堂电影院,Nuovo Cinema Paradiso,朱塞佩·托纳多雷,Giuseppe Tornatore,菲利普·努瓦雷,,9.2,702990,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988,意大利 法国,剧情 爱情
教父2,The Godfather: Part II,弗朗西斯·福特·科波拉,Francis Ford Coppola,阿尔·帕西诺,,9.3,584931,优雅的孤独。,1974,美国,剧情 犯罪
狮子王,The Lion King,,Roger Allers,,,9.1,889680,动物版《哈姆雷特》。,1994,美国,动画 冒险 歌舞
辩护人,변호인,杨宇硕,Woo,宋康昊,,9.2,618059,电影的现实意义大过电影本身。,2013,韩国,剧情
饮食男女,飲食男女,李安,Ang Lee,郎雄,,9.2,657189,人生不能像做菜，把所有的料都准备好了才下锅。,1994,中国台湾 美国,剧情 家庭
搏击俱乐部,Fight Club,大卫·芬奇,David Fincher,爱德华·诺顿,,9.0,892008,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999,美国,剧情 动作 悬疑 惊悚
本杰明·巴顿奇事,The Curious Case of Benjamin Button,大卫·芬奇,David Fincher,凯特·布兰切特,,9.0,1031782,在时间之河里感受溺水之苦。,2008,美国,剧情 爱情 奇幻
美丽心灵,A Beautiful Mind,朗·霍华德,Ron Howard,罗素·克劳,,9.1,803849,爱是一切逻辑和原由。,2001,美国,传记 剧情
