电影中文名,电影外文名,导演中文名,导演外文名,主演中文名,主演外文名,评分,评分人数,简介,上映年份,国家,电影类型
达拉斯买家俱乐部,Dallas Buyers Club,让-马克·瓦雷,Jean,马修·麦康纳,,8.8,474518,Jared Leto的腿比女人还美！,2013,美国,剧情 传记 同性
疯狂原始人,The Croods,科克·德·米科,Kirk De Micco,,,8.7,872346,老少皆宜，这就是好莱坞动画的魅力。,2013,美国,喜剧 动画 冒险
谍影重重3,The Bourne Ultimatum,保罗·格林格拉斯,Paul Greengrass,马特·达蒙,,8.8,438228,像吃了苏打饼一样干脆的电影。,2007,美国 德国 法国 英国,动作 悬疑 惊悚
小丑,Joker,托德·菲利普斯,Todd Phillips,杰昆·菲尼克斯,,8.7,1056558,,2019,美国 加拿大,剧情 犯罪 惊悚
上帝之城,Cidade de Deus,费尔南多·梅里尔斯,Fernando Meirelles,,,9.0,313245,被上帝抛弃了的上帝之城。,2002,巴西 法国,犯罪 剧情
英雄本色,A Better Tomorrow,吴宇森,John Woo,周润发,,8.6,567227,英雄泪短，兄弟情长。,1986,中国香港,剧情 动作 犯罪
风之谷,風の谷のナウシカ,宫崎骏,Hayao Miyazaki,岛本须美,,8.9,371260,动画片的圣经。,1984,日本,动画 奇幻 冒险
背靠背，脸对脸,背对背，脸对脸,黄建新,Jianxin Huang,牛振华,,9.5,150918,,1994,中国大陆 中国香港,剧情
绿里奇迹,The Green Mile,弗兰克·德拉邦特,Frank Darabont,汤姆·汉克斯,,8.9,353778,天使暂时离开。,1999,美国,犯罪 剧情 奇幻 悬疑
心灵奇旅,Soul,彼特·道格特,Pete Docter,,,8.7,1041775,,2020,美国,动画 奇幻 音乐
爱在午夜降临前,Before Midnight,理查德·林克莱特,Richard Linklater,伊桑·霍克,,8.9,429389,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013,美国 希腊,剧情 爱情
海街日记,海街diary,是枝裕和,Hirokazu Koreeda,绫濑遥,,8.8,475922,是枝裕和的家庭习作。,2015,日本,剧情 家庭
纵横四海,緃横四海,吴宇森,John Woo,周润发,,8.8,446365,香港浪漫主义警匪动作片的巅峰之作。,1991,中国香港,剧情 喜剧 动作 犯罪
卢旺达饭店,Hotel Rwanda,特瑞·乔治,Terry George,唐·钱德尔,,8.9,345565,当这个世界闭上双眼，他却敞开了怀抱。,2004,英国 南非 意大利 美国,剧情 传记 历史 战争
疯狂的石头,Crazy Stone,宁浩,Hao Ning,郭涛,,8.6,865080,中国版《两杆大烟枪》。,2006,中国大陆 中国香港,喜剧 犯罪
2001太空漫游,2001: A Space Odyssey,斯坦利·库布里克,Stanley Kubrick,凯尔·杜拉,,8.9,355896,现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968,英国 美国,科幻 惊悚 冒险
无间道2,無間道II,刘伟强 / 麦兆辉   主演: 陈冠希,Edison Chen,陈冠希,,8.8,514561,,2003,中国香港,剧情 犯罪 惊悚
记忆碎片,Memento,克里斯托弗·诺兰,Christopher Nolan,盖·皮尔斯,,8.7,630444,一个针管引发的血案。,2000,美国,犯罪 剧情 悬疑 惊悚
雨中曲,Singin' in the Rain,斯坦利·多南,Stanley Donen,,,9.1,242251,骨灰级歌舞片。,1952,美国,喜剧 歌舞 爱情
小偷家族,万引き家族,是枝裕和,Hirokazu Koreeda,中川雅也,,8.7,848120,我们组成了家。,2018,日本,剧情 犯罪 家庭
岁月神偷,歲月神偷,罗启锐,Alex Law,吴君如,,8.7,590226,岁月流逝，来日可追。,2010,中国香港 中国大陆,剧情 家庭
无敌破坏王,Wreck-It Ralph,瑞奇·莫尔,Rich Moore,约翰·,,8.7,569854,迪士尼和皮克斯拿错剧本的产物。,2012,美国,喜剧 动画 奇幻 冒险
忠犬八公物语,ハチ公物語,神山征二郎,Seijir,仲代达矢,,9.2,205016,养狗三日，便会对你终其一生。,1987,日本,剧情
荒蛮故事,Relatos salvajes,达米安·斯兹弗隆,Dami,达里奥·葛兰帝内提,,8.8,464902,始于荒诞，止于更荒诞。,2014,阿根廷 西班牙,剧情 喜剧 犯罪
冰川时代,Ice Age,卡洛斯·沙尔丹哈,Carlos Saldanha,,,8.6,644783,松鼠才是角儿。,2002,美国,喜剧 动画 冒险
牯岭街少年杀人事件,牯嶺街少年殺人事件,杨德昌,Edward Yang,张震,,8.9,327041,弱者送给弱者的一刀。,1991,中国台湾,剧情 犯罪
爆裂鼓手,Whiplash,达米恩·查泽雷,Damien Chazelle,迈尔斯·特勒,,8.7,619857,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014,美国,剧情 音乐
恐怖游轮,Triangle,克里斯托弗·史密斯,Christopher Smith,梅利莎·乔治,,8.5,914813,不要企图在重复中寻找已经失去的爱。,2009,英国 澳大利亚,剧情 悬疑 惊悚
东京教父,東京ゴッドファーザーズ,今敏,Satoshi Kon,江守彻,,9.0,253740,,2003,日本,剧情 喜剧 动画
魔女宅急便,魔女の宅急便,宫崎骏,Hayao Miyazaki,高山南,,8.7,486829,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989,日本,动画 奇幻 冒险
大佛普拉斯,The Great Buddha+,黄信尧,Hsin,庄益增,,8.7,501121,人们可以登上月球，却永远无法探索人们内心的宇宙。,2017,中国台湾,剧情 喜剧
贫民窟的百万富翁,Slumdog Millionaire,丹尼·鲍尔,Danny Boyle,,,8.6,771267,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008,英国,剧情 爱情
遗愿清单,The Bucket List,罗伯·莱纳,Rob Reiner,杰克·尼科尔森,,8.7,491808,用剩余不多的时间，去燃烧整个生命。,2007,美国,冒险 喜剧 剧情
东邪西毒,東邪西毒,王家卫,Kar Wai Wong,张国荣,,8.6,599627,电影诗。,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
你看起来好像很好吃,おまえうまそうだな,藤森雅也,Masaya Fujimori,山口胜平,,8.9,349135,感情不分食草或者食肉。,2010,日本,剧情 动画 儿童
末路狂花,Thelma & Louise,雷德利·斯科特,Ridley Scott,吉娜·戴维斯,,8.9,289238,没有了退路，只好飞向自由。,1991,美国 英国 法国,犯罪 剧情 惊悚
可可西里,Kekexili: Mountain Patrol,陆川,Chuan Lu,多布杰,,8.9,319281,坚硬的信仰。,2004,中国大陆 中国香港,剧情 犯罪
城市之光,City Lights,,Charles Chaplin,查理·卓别林,,9.3,156897,永远的小人物，伟大的卓别林。,1931,美国,喜剧 剧情 爱情
源代码,Source Code,邓肯·琼斯,Duncan Jones,杰克·吉伦哈尔,,8.5,870492,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011,美国 加拿大,科幻 悬疑 惊悚
黑天鹅,Black Swan,达伦·阿罗诺夫斯基,Darren Aronofsky,娜塔莉·波特曼,,8.6,807174,黑暗之美。,2010,美国,剧情 惊悚
海边的曼彻斯特,Manchester by the Sea,肯尼斯·罗纳根,Kenneth Lonergan,卡西·阿弗莱克,,8.6,587481,我们都有权利不与自己的过去和解。,2016,美国,剧情 家庭
波西米亚狂想曲,Bohemian Rhapsody,布莱恩·辛格,Bryan Singer,拉米·马雷克,,8.6,641082,,2018,英国 美国,剧情 传记 同性 音乐
疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,乔治·米勒,George Miller,汤姆·哈迪,,8.7,568860,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,2015,澳大利亚 美国,动作 科幻 冒险
真爱至上,Love Actually,理查德·柯蒂斯,Richard Curtis,休·格兰特,,8.5,764456,爱，是个动词。,2003,英国 美国 法国,喜剧 剧情 爱情
雨人,Rain Man,巴瑞·莱文森,Barry Levinson,达斯汀·霍夫曼,,8.7,420034,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988,美国,剧情
青蛇,Green Snake,徐克,Hark Tsui,张曼玉,,8.6,552038,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
爱乐之城,La La Land,达米恩·查泽雷,Damien Chazelle,瑞恩·高斯林,,8.4,999370,,2016,美国,剧情 爱情 歌舞
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,普特鹏·普罗萨卡·那·萨克那卡林,Puttipong Promsaka Na Sakolnakorn,,,8.5,1007991,黑小鸭速效美白记。,2010,泰国,剧情 喜剧 爱情
芙蓉镇,Hibiscus Town,谢晋,Jin Xie,刘晓庆,,9.3,157984,,1987,中国大陆,剧情 爱情
人工智能,A.I. Artificial Intelligence,史蒂文·斯皮尔伯格,Steven Spielberg,海利·乔·奥斯蒙,,8.7,467831,对爱的执着，可以超越一切。,2001,美国 英国,剧情 科幻
终结者2：审判日,Terminator 2: Judgment Day,詹姆斯·卡梅隆,James Cameron,阿诺·施瓦辛格,,8.8,357684,少见的超越首部的续集，动作片中的经典。,1991,美国 法国,动作 科幻
虎口脱险,La grande vadrouille,杰拉尔·乌里,,路易·德·菲耐斯,,8.9,272271,永远看不腻的喜剧。,1966,法国 英国,喜剧 战争
恋恋笔记本,The Notebook,尼克·卡索维茨,Nick Cassavetes,瑞恩·高斯林,,8.5,704390,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,2004,美国,剧情 爱情
新龙门客栈,新龍門客棧,李惠民,Raymond Lee,张曼玉,,8.7,467977,嬉笑怒骂，调风动月。,1992,中国香港 中国大陆,动作 爱情 武侠 古装
无耻混蛋,Inglourious Basterds,昆汀·塔伦蒂诺,Quentin Tarantino,布拉德·皮特,,8.7,507178,昆汀同学越来越变态了，比北野武还杜琪峰。,2009,德国 美国,剧情 犯罪
罗生门,羅生門,黑泽明,Akira Kurosawa,三船敏郎,,8.8,331984,人生的N种可能性。,1950,日本,剧情 犯罪 悬疑
花束般的恋爱,花束みたいな恋をした,土井裕泰,Nobuhiro Doi,菅田将晖,,8.6,699395,,2021,日本,剧情 爱情
崖上的波妞,崖の上のポニョ,宫崎骏,Hayao Miyazaki,奈良柚莉爱,,8.6,529785,,2008,日本,动画 奇幻 冒险
千钧一发,Gattaca,安德鲁·尼科尔,Andrew Niccol,伊桑·霍克,,8.8,319552,一部能引人思考的科幻励志片。,1997,美国,剧情 科幻 惊悚
高山下的花环,卫国军魂(港),谢晋,中国大陆,吕晓禾,中国大陆,9.5,111830,,1984,中国大陆,剧情 战争
彗星来的那一夜,Coherence,詹姆斯·沃德·布柯特,James Ward Byrkit,艾米丽·芭尔多尼,,8.6,621559,小成本大魅力。,2013,美国 英国,科幻 悬疑 惊悚
哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,大卫·叶茨,David Yates,丹尼尔·雷德克里夫,,8.6,617445,最忠于原著的一部。,2010,英国 美国,奇幻 冒险
白日梦想家,The Secret Life of Walter Mitty,本·斯蒂勒,Ben Stiller,本·斯蒂勒,,8.6,547337,,2013,美国 英国,剧情 喜剧 冒险
萤火虫之墓,火垂るの墓,高畑勋,Isao Takahata,,,8.7,418296,幸福是生生不息，却难以触及的远。,1988,日本,动画 剧情 战争
黑客帝国2：重装上阵,The Matrix Reloaded,拉娜·沃卓斯基,Lana Wachowski,,,8.7,425136,一个精彩的世界观正在缓缓建立。,2003,美国,动作 科幻
奇迹男孩,Wonder,斯蒂芬·卓博斯基,Stephen Chbosky,雅各布·特伦布莱,,8.6,571354,世界不完美，爱会有奇迹。,2017,美国 中国香港,剧情 儿童 家庭
火星救援,The Martian,雷德利·斯科特,Ridley Scott,马特·达蒙,,8.5,772151,,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
二十二,Twenty Two,郭柯,Ke Guo,2015,,8.7,301153,有一些东西不应该被遗忘。,2015,中国大陆,纪录片
战争之王,Lord of War,安德鲁·尼科尔,Andrew Niccol,尼古拉斯·凯奇,,8.7,387550,做一颗让别人需要你的棋子。,2005,美国 德国,剧情 犯罪
血钻,Blood Diamond,爱德华·兹威克,Edward Zwick,莱昂纳多·迪卡普里奥,,8.7,397525,每个美丽事物背后都是滴血的现实。,2006,美国 德国 英国,剧情 惊悚 冒险
步履不停,歩いても 歩いても,是枝裕和,Hirokazu Koreeda,阿部宽,,8.8,295413,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008,日本,剧情 家庭
哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,大卫·叶茨,David Yates,丹尼尔·雷德克里夫,,8.5,612997,,2007,英国 美国,奇幻 冒险
千年女优,千年女優,今敏,Satoshi Kon,庄司美代子,,8.8,288956,爱情是一场没有尽头的虚幻追逐。,2001,日本,动画 剧情 爱情
大红灯笼高高挂,Raise The Red Lantern,张艺谋,Yimou Zhang,巩俐,,8.8,311367,,1991,中国大陆 中国香港 中国台湾,剧情
房间,Room,伦尼·阿伯拉罕森,Lenny Abrahamson,布丽·拉尔森,,8.8,381191,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
魂断蓝桥,Waterloo Bridge,茂文·勒鲁瓦,Mervyn LeRoy,费雯·丽,,8.8,291705,中国式内在的美国电影。,1940,美国,剧情 爱情 战争
谍影重重2,The Bourne Supremacy,保罗·格林格拉斯,Paul Greengrass,马特·达蒙,,8.7,370408,谁说王家卫镜头很晃？,2004,美国 德国,动作 悬疑 惊悚
蜘蛛侠：平行宇宙,Spider-Man: Into the Spider-Verse,鲍勃·佩尔西凯蒂,Bob Persichetti,,,8.6,704976,,2018,美国,动作 科幻 动画 冒险
弱点,The Blind Side,约翰·李·汉考克,John Lee Hancock,桑德拉·布洛克,,8.7,329728,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,2009,美国,剧情 家庭 传记 运动
谍影重重,The Bourne Identity,道格·里曼,Doug Liman,马特·达蒙,,8.6,450268,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002,美国 德国 捷克,动作 悬疑 惊悚
阿飞正传,阿飛正傳,王家卫,Kar Wai Wong,张国荣,,8.5,535956,王家卫是一种风格，张国荣是一个代表。,1990,中国香港,犯罪 剧情 爱情
朗读者,The Reader,史蒂芬·戴德利,Stephen Daldry,凯特·温丝莱特,,8.6,467933,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。,2008,美国 德国,剧情 爱情
隐藏人物,Hidden Figures,特奥多尔·梅尔菲,Theodore Melfi,塔拉吉·,,8.9,235011,,2016,美国,剧情 传记 历史
再次出发之纽约遇见你,Begin Again,约翰·卡尼,John Carney,凯拉·奈特莉,,8.6,445075,爱我就给我看你的播放列表。,2013,美国,喜剧 爱情 音乐
